store_name,gpu_model,gpu_name,fetch_ts,gpu_price,in_stock,url
xcom-shop,nVidia GeForce GTX 1660 Ti,Palit GeForce GTX 1660 Ti StormX,1636231721.3267536,60050,True,https://www.xcom-shop.ru//palit_geforce_gtx_1660_ti_stormx_ne6166t018j9-161f_696697.html
xcom-shop,nVidia GeForce GT 1030,Palit GeForce GT 10,1636231721.692611,10366,True,https://www.xcom-shop.ru//palit_geforce_gt_1030_623880.html
xcom-shop,nVidia GeForce GT 730,Palit GeForce GT 7,1636231722.0767972,6076,True,https://www.xcom-shop.ru//palit_geforce_gt_730_481288.html
xcom-shop,nVidia GeForce RTX 3060,Palit GeForce RTX 3060 StormX,1636231722.48978,75384,True,https://www.xcom-shop.ru//palit_geforce_rtx_3060_stormx_ne63060019k9-190af_833900.html
xcom-shop,nVidia GeForce GTX 1660 Ti,PNY GeForce GTX 1660 Ti XLR8,1636231722.8593493,60407,True,https://www.xcom-shop.ru//pny_geforce_gtx_1660_ti_xlr8_vcg1660t6dfppb_870368.html
xcom-shop,nVidia GeForce RTX 3080,PNY GeForce RTX 3080 XLR8 GAMING REVEL EPIC-X LHR,1636231723.234205,177718,True,https://www.xcom-shop.ru//pny_geforce_rtx_3080_xlr8_gaming_revel_epic-x_lhr_vcg308010ltfxp-blk_876213.html
xcom-shop,nVidia GeForce RTX 3080,PNY GeForce RTX 3080 XLR8 Gaming REVEL EPIC-X RGB Triple Fan L,1636231723.5900025,179291,True,https://www.xcom-shop.ru//pny_geforce_rtx_3080_xlr8_gaming_revel_epic-x_rgb_triple_fan_lhr_876215.html
xcom-shop,nVidia Quadro P1000 V2,PNY Quadro P1000 ,1636231723.990258,31455,True,https://www.xcom-shop.ru//pny_quadro_p1000_v2_770685.html
xcom-shop,nVidia Quadro P1000 V2,PNY Quadro P1000 ,1636231724.3216465,31996,True,https://www.xcom-shop.ru//pny_quadro_p1000_v2_770687.html
xcom-shop,nVidia Quadro P1000 V2,PNY Quadro P1000 ,1636231724.6477869,30214,True,https://www.xcom-shop.ru//pny_quadro_p1000_v2_770684.html
xcom-shop,nVidia Quadro P1000 V2,PNY Quadro P1000 ,1636231724.999135,32169,True,https://www.xcom-shop.ru//pny_quadro_p1000_v2_770688.html
xcom-shop,nVidia Quadro P2000,PNY Quadro P2000,1636231725.8134782,47897,True,https://www.xcom-shop.ru//pny_quadro_p2000_vcqp2000-pb_572203.html
xcom-shop,nVidia Quadro P2200,PNY Quadro P22,1636231726.189592,55403,True,https://www.xcom-shop.ru//pny_quadro_p2200_741302.html
xcom-shop,nVidia Quadro P2200,PNY Quadro P22,1636231726.5952632,56206,True,https://www.xcom-shop.ru//pny_quadro_p2200_741274.html
xcom-shop,nVidia Quadro P400,PNY Quadro P400 ,1636231726.9028687,10667,True,https://www.xcom-shop.ru//pny_quadro_p400_v2_838668.html
xcom-shop,nVidia Quadro P400,PNY Quadro P400 ,1636231727.2374353,10366,True,https://www.xcom-shop.ru//pny_quadro_p400_v2_770692.html
xcom-shop,nVidia Quadro P400,PNY Quadro P400 ,1636231727.601485,11509,True,https://www.xcom-shop.ru//pny_quadro_p400_v2_770690.html
xcom-shop,nVidia Quadro P400,PNY Quadro P400 ,1636231727.9362106,10519,True,https://www.xcom-shop.ru//pny_quadro_p400_v2_831714.html
xcom-shop,nVidia Quadro P400,PNY Quadro P400 ,1636231728.2831795,10909,True,https://www.xcom-shop.ru//pny_quadro_p400_v2_770694.html
xcom-shop,nVidia Quadro P620,PNY Quadro P620 ,1636231728.7512312,18266,True,https://www.xcom-shop.ru//pny_quadro_p620_v2_770698.html
xcom-shop,nVidia Quadro RTX 4000,PNY Quadro RTX 40,1636231729.0789926,87179,True,https://www.xcom-shop.ru//pny_quadro_rtx_4000_677409.html
xcom-shop,nVidia Quadro RTX 4000,PNY Quadro RTX 40,1636231729.3801763,107663,True,https://www.xcom-shop.ru//pny_quadro_rtx_4000_687227.html
xcom-shop,nVidia Quadro RTX 5000,PNY Quadro RTX 50,1636231729.7199512,186072,True,https://www.xcom-shop.ru//pny_quadro_rtx_5000_770699.html
xcom-shop,nVidia Quadro RTX 6000,PNY Quadro RTX 60,1636231730.1343966,341253,True,https://www.xcom-shop.ru//pny_quadro_rtx_6000_863217.html
xcom-shop,nVidia Quadro RTX 6000,PNY Quadro RTX 60,1636231730.4873636,431301,True,https://www.xcom-shop.ru//pny_quadro_rtx_6000_677411.html
xcom-shop,,PNY T10,1636231730.8466928,33456,True,https://www.xcom-shop.ru//pny_t1000_878176.html
xcom-shop,nVidia Quadro T1000,PNY T1000,1636231731.1307006,33599,True,https://www.xcom-shop.ru//pny_t1000_vcnt1000-sb_863224.html
xcom-shop,nVidia T400,PNY T400,1636231731.447945,11226,True,https://www.xcom-shop.ru//pny_t400_vcnt400-pb_876271.html
xcom-shop,nVidia T400,PNY T400,1636231731.7654116,10723,True,https://www.xcom-shop.ru//pny_t400_vcnt400-sb_874805.html
xcom-shop,nVidia T600,PNY T600,1636231732.0979667,18587,True,https://www.xcom-shop.ru//pny_t600_vcnt600-sb_863225.html
xcom-shop,nVidia Tesla T4,PNY TESLA ,1636231732.4351397,211246,True,https://www.xcom-shop.ru//pny_tesla_t4_789162.html
xcom-shop,AMD Radeon RX 550,PowerColor Radeon RX550,1636231732.7581553,8936,True,https://www.xcom-shop.ru//powercolor_radeon_rx550_axrx_550_2gbd5-hlev2_869177.html
xcom-shop,AMD Radeon RX 6700 XT,PowerColor Radeon RX 6700 XT Red Dev,1636231733.1045575,115595,True,https://www.xcom-shop.ru//powercolor_radeon_rx_6700_xt_red_devil_848122.html
xcom-shop,nVidia GeForce GTX 750 Ti,Sinotex GeForce GTX 750 ,1636231733.8378797,9591,True,https://www.xcom-shop.ru//sinotex_geforce_gtx_750_ti_652520.html
xcom-shop,nVidia GeForce GT 730,Sinotex GeForce GT 7,1636231734.2040646,6291,True,https://www.xcom-shop.ru//sinotex_geforce_gt_730_691868.html
xcom-shop,AMD Radeon R5 230,Sinotex Radeon R5 230 Ninja,1636231734.5516295,3646,True,https://www.xcom-shop.ru//sinotex_radeon_r5_230_ninja_akr523023f_873457.html
xcom-shop,AMD Radeon RX 6900X,XFX Radeon RX 6900 XT,1636231734.964744,165851,True,https://www.xcom-shop.ru//xfx_radeon_rx_6900_xt_rx-69xtmaqfd_870369.html
xcom-shop,nVidia GeForce RTX 2060,Zotac GeForce RTX 2060,1636231735.31195,62909,True,https://www.xcom-shop.ru//zotac_geforce_rtx_2060_zt-t20600h-10m_728295.html
xcom-shop,nVidia GeForce RTX 3060,Zotac GeForce RTX 3060 AMP White Edition,1636231735.6396987,84713,True,https://www.xcom-shop.ru//zotac_geforce_rtx_3060_amp_white_edition_zt-a30600f-10p_830768.html
xcom-shop,nVidia GeForce RTX 3060,Zotac GeForce RTX 3060 Twin Edge,1636231735.9709177,84713,True,https://www.xcom-shop.ru//zotac_geforce_rtx_3060_twin_edge_zt-a30600e-10m_830766.html
xcom-shop,nVidia GeForce RTX 3070,Zotac GeForce RTX 3070 Twin Edge OC LHR,1636231736.32786,125032,True,https://www.xcom-shop.ru//zotac_geforce_rtx_3070_twin_edge_oc_lhr_zt-a30700h-10plhr_876207.html
xcom-shop,nVidia GeForce RTX 3070,Zotac GeForce RTX 3070 Twin Edge OC White Edition LHR,1636231736.6790097,125032,True,https://www.xcom-shop.ru//zotac_geforce_rtx_3070_twin_edge_oc_white_edition_lhr_zt-a30700j-10plhr_876210.html
xcom-shop,nVidia GeForce RTX 3080 Ti,Zotac GeForce RTX 3080 Ti Trinity,1636231737.0014246,194232,True,https://www.xcom-shop.ru//zotac_geforce_rtx_3080_ti_trinity_zt-a30810d-10p_876212.html
xcom-shop,nVidia GeForce RTX 3080,Zotac GeForce RTX 3080 Trinity OC LHR,1636231737.430567,178505,True,https://www.xcom-shop.ru//zotac_geforce_rtx_3080_trinity_oc_lhr_zt-a30800j-10plhr_876208.html
