store_name,gpu_model,gpu_name,fetch_ts,price,url,in_stock
regard,Quadro P400,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro P1000,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro P400,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro P2000,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro P400,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro GP100,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3090,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro M6000,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3090,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce RTX 3080,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T600,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T400,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T400,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T1000,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T1000,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T400,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T1000,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T1000,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,Quadro T400,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce GTX 1050 Ti,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce GT 730,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
regard,GeForce GTX 1050 Ti,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),1636927460.5645814,542320,https://www.regard.ru/catalog/tovar312540.htm,True
